Date,Country,City,State,Shape,Summary,lat,lon
16-08-09-18-00,USA,Durham,NC,Teardrop,REDACTED,35.9940329,-78.8986189
16-08-09-17-55,USA,Wake Forest,NC,Fireball,REDACTED,35.9803097,-78.5103426
16-08-09-17-50,USA,Raleigh,NC,Light,REDACTED,35.7803977,-78.6390988
16-08-09-17-00,USA,Mebane,NC,Circle,REDACTED,36.095972,-79.2669619
16-08-09-16-30,USA,Santa Clarita,CA,Light,REDACTED,34.3916641,-118.5425859
16-08-09-16-00,USA,Goleta,CA,Changing,REDACTED,34.4358295,-119.8276388
16-08-09-16-00,USA,Denio,NV,Unknown,REDACTED,41.9898955,-118.6343403
16-08-09-06-30,USA,Westport,IN,Oval,REDACTED,34.6927518,-76.8561616
16-08-09-06-00,USA,Tarpon Springs,FL,Light,REDACTED,28.1477885,-82.77740857
16-08-09-01-20,USA,Brilliant,OH,Unknown,REDACTED,40.2716575,-80.6291158
16-08-09-01-00,USA,Duncan,OK,Circle,REDACTED,34.5023029,-97.9578128
16-08-09-01-00,USA,Centerville,IA,Oval,REDACTED,40.7341804,-92.8740875
16-07-09-23-20,USA,Easley,SC,Triangle,REDACTED,34.8269276,-82.5817052
16-07-09-23-15,USA,Haworth,NJ,Flash,REDACTED,40.9609315,-73.9901382
16-07-09-22-41,USA,Franklin,NC,Circle,REDACTED,36.1028596,-78.2787228
16-07-09-22-15,USA,Harrison,NY,Disk,REDACTED,40.9689871,-73.7126299
16-07-09-22-00,USA,Deptford,NJ,Light,REDACTED,39.8271755,-75.1235891
16-07-09-21-30,USA,Fairborn,OH,Triangle,REDACTED,39.8067455,-84.01023318
16-07-09-21-30,USA,Fairborn,OH,Triangle,REDACTED,39.8067455,-84.01023318
16-07-09-21-30,USA,Dayton,OH,Other,REDACTED,39.7589478,-84.1916068
16-07-09-20-45,USA,Adrian,OR,Circle,REDACTED,43.7407105,-117.0716803
16-07-09-20-00,USA,Syracuse,NY,Other,REDACTED,43.0481221,-76.1474243
16-07-09-09-23,USA,Portsmouth,RI,Fireball,REDACTED,41.6024068,-71.2503156
16-07-09-08-40,USA,Half Moon Bay,CA,Oval,REDACTED,37.4635519,-122.4285861
16-07-09-07-45,USA,Stonefort,IL,Light,REDACTED,37.6142165,-88.7081132
16-07-09-05-30,USA,Rancho Cucamonga,CA,Light,REDACTED,34.1033192,-117.5751734
16-07-09-05-00,USA,Oak Forest,IL,Light,REDACTED,41.6028116,-87.7439383
16-07-09-01-00,USA,Buford,GA,Circle,REDACTED,34.1206564,-84.0043512
16-07-09-01-00,USA,Winder,GA,Circle,REDACTED,33.9926098,-83.7201709
16-07-09-00-00,USA,Winder,GA,Circle,REDACTED,33.9926098,-83.7201709
16-06-09-22-00,USA,Peoria,IL,Light,REDACTED,40.6938609,-89.5891007
16-06-09-22-00,USA,Kingston,NY,Circle,REDACTED,41.928781,-74.0023699
16-06-09-22-00,USA,Windsor,VT,Unknown,REDACTED,43.5480465,-72.5944538
16-06-09-22-00,USA,Atascosa,TX,Unknown,REDACTED,28.8554434,-98.5316313
16-06-09-20-50,USA,Albany,NY,Triangle,REDACTED,42.6511674,-73.7549679
16-06-09-20-40,USA,La Canada,CA,Light,REDACTED,34.06053,-117.4018939
16-06-09-19-45,USA,Dundalk,MD,Fireball,REDACTED,39.2574114,-76.5236744
16-06-09-16-00,USA,Bangor,PA,Rectangle,REDACTED,40.8656515,-75.2065676
16-06-09-16-00,USA,Bangor,PA,Rectangle,REDACTED,40.8656515,-75.2065676
16-06-09-15-30,USA,Asheboro,NC,Disk,REDACTED,35.7079146,-79.8136445
16-06-09-14-45,USA,Tucson,AZ,Triangle,REDACTED,32.2217422,-110.9264758
16-06-09-14-00,USA,Palm Spring,CA,Changing,REDACTED,36.8130233,-117.765987
16-06-09-13-30,USA,Lake Crystal,MN,Fireball,REDACTED,44.1057973,-94.2188493
16-06-09-08-20,USA,Brentwood,CA,Other,REDACTED,37.9317766,-121.6960265
16-06-09-06-15,USA,Gary,IN,Cigar,REDACTED,31.470271,-82.1076619
16-06-09-01-34,USA,Boise,ID,Triangle,REDACTED,43.61656,-116.2008349
16-06-09-00-30,USA,Dyersburg,TN,Unknown,REDACTED,36.0345159,-89.385628
16-06-09-00-15,USA,Pasco,WA,Flash,REDACTED,46.2395793,-119.1005656
16-06-09-00-00,USA,Harrison,AR,Light,REDACTED,36.2297936,-93.1076764
16-05-09-22-30,USA,St. George,UT,Triangle,REDACTED,37.104153,-113.5841312
16-05-09-22-10,CANADA,Delaware,ON,Sphere,REDACTED,42.9081286,-81.4209221
16-05-09-21-30,USA,Santa Fe,NM,Other,REDACTED,35.6869996,-105.9377996
16-05-09-21-00,USA,Bloomer,WI,Triangle,REDACTED,45.1002449,-91.4886209
16-05-09-21-00,USA,Bloomer,WI,Triangle,REDACTED,45.1002449,-91.4886209
16-05-09-21-00,USA,Bloomer,WI,Triangle,REDACTED,45.1002449,-91.4886209
16-05-09-20-45,USA,Spotsylvania,VA,Sphere,REDACTED,38.1880936,-77.674175
16-05-09-20-30,USA,Pittsgrove,NJ,Sphere,REDACTED,39.599472,-75.2623787
16-05-09-20-00,USA,South Park Township,PA,Light,REDACTED,40.3027675,-79.99750309
16-05-09-19-55,USA,Rose City,MI,Light,REDACTED,44.421406,-84.1166669
16-05-09-19-50,USA,Magalia,CA,Changing,REDACTED,39.8219895,-121.6106544
16-05-09-10-00,USA,Webster,NY,Light,REDACTED,43.2122851,-77.4299938
16-05-09-09-35,USA,Wake Forest,NC,Sphere,REDACTED,35.9803097,-78.5103426
16-05-09-05-20,USA,Jamaica Beach,TX,Light,REDACTED,29.1831247,-94.9729395
16-05-09-04-45,CANADA,Hillsdale,ON,Light,REDACTED,43.9280142,-80.1042398
16-05-09-04-00,USA,Jefferson Hills,PA,Light,REDACTED,40.2910385,-79.93514465
16-05-09-03-00,USA,Greenbelt,MD,Unknown,REDACTED,39.0045544,-76.8755281
16-05-09-02-20,USA,Parker,CO,Formation,REDACTED,32.7599475,-97.7935766
16-05-09-02-00,USA,Camdenton,MO,Unknown,REDACTED,38.0080902,-92.7446288
16-05-09-01-00,USA,Taylorsville,UT,Disk,REDACTED,40.6677517,-111.938631
16-05-09-00-00,USA,Muskegon,MI,Triangle,REDACTED,43.2341813,-86.248392
16-04-09-00-00,USA,Morristown,TN,Triangle,REDACTED,36.2139814,-83.2948922
16-04-09-23-00,USA,National Park,NJ,Fireball,REDACTED,39.865968,-75.179635
16-04-09-22-45,USA,Lawrenceburg,KY,Fireball,REDACTED,38.0372967,-84.896617
16-04-09-22-29,USA,Varnell,GA,Fireball,REDACTED,34.9011886,-84.9738348
16-04-09-22-00,USA,Bremen,GA,Triangle,REDACTED,33.7212179,-85.1455035
16-04-09-21-30,USA,St. Louis,MO,Triangle,REDACTED,38.6272733,-90.1978888
16-04-09-21-00,USA,Pflugerville,TX,Fireball,REDACTED,30.4393696,-97.6200042
16-04-09-21-00,USA,Elgin,IL,Fireball,REDACTED,42.0372487,-88.2811894
16-04-09-19-55,USA,Kettering,OH,Other,REDACTED,39.6895036,-84.1688273
16-04-09-19-32,USA,Manassas,VA,Disk,REDACTED,38.744947,-77.48244413
16-04-09-19-18,USA,West Chester,PA,Other,REDACTED,39.9597213,-75.6059637
16-04-09-18-40,USA,Winnemucca,NV,Cylinder,REDACTED,40.9729584,-117.7356848
16-04-09-17-45,USA,Arvada,CO,Circle,REDACTED,39.8211225,-105.2207429
16-04-09-15-03,USA,Port St. Lucie,FL,Sphere,REDACTED,27.2939333,-80.3503282
16-04-09-11-30,USA,Miami,FL,Oval,REDACTED,25.800431,-80.2632189
16-04-09-09-30,USA,Buffalo,WY,Rectangle,REDACTED,43.471764,-110.7883509
16-04-09-08-45,USA,Portage,WI,Circle,REDACTED,44.4604931,-89.5108817
16-04-09-03-40,USA,Northbrook,IL,Light,REDACTED,42.1299234,-87.8299475
16-04-09-01-00,USA,Tampa,FL,Other,REDACTED,27.9518491,-82.4563971
16-04-09-01-00,USA,Bellevue,WA,Unknown,REDACTED,47.6144219,-122.1923371
16-04-09-01-00,USA,Donora,PA,Light,REDACTED,40.1734049,-79.8575466
16-03-09-00-00,USA,Mount royal,NJ,Light,REDACTED,39.8101134,-75.2112924
16-03-09-00-00,USA,Royal Oak,MI,Disk,REDACTED,42.4894801,-83.1446484
16-03-09-23-57,USA,Forest Grove,OR,Sphere,REDACTED,45.5197452,-123.1114404
16-03-09-23-55,USA,Portland,OR,Fireball,REDACTED,45.5202471,-122.6741948
16-03-09-23-45,USA,Auburn,WI,Circle,REDACTED,45.2041282,-91.5582196
16-03-09-23-25,USA,Madisonville,LA,Unknown,REDACTED,37.3280037,-87.4986988
16-03-09-23-00,USA,Wood Dale,IL,Fireball,REDACTED,41.9633625,-87.9789561
16-03-09-23-00,USA,Hurley,MO,Light,REDACTED,32.6992442,-108.1319871
16-03-09-23-00,USA,Manalapan,NJ,Fireball,REDACTED,40.2852895,-74.3334949
16-03-09-22-28,USA,Angels Camp,CA,Unknown,REDACTED,38.0682555,-120.5396455
16-03-09-21-58,USA,Idyllwild,CA,Formation,REDACTED,33.7400209,-116.7189074
16-03-09-21-30,USA,Hamburg,NJ,Sphere,REDACTED,41.1534294,-74.5762712
16-03-09-21-30,USA,Smithfield,RI,Light,REDACTED,41.9220433,-71.5495069
16-03-09-20-50,USA,San Pedro,CA,Circle,REDACTED,33.7358518,-118.2922933
16-03-09-20-46,CANADA,Nanaimo,BC,Light,REDACTED,49.1637659,-123.9379792
16-03-09-20-45,USA,Roseville,MI,Triangle,REDACTED,42.4972583,-82.9371408
16-03-09-20-35,USA,Greenwood Lake,NJ,Light,REDACTED,41.161762,-74.3329291
16-03-09-20-30,USA,High Ridge,MO,Circle,REDACTED,38.4589432,-90.5365125
16-03-09-20-27,USA,Reno,NV,Light,REDACTED,39.52927,-119.8136743
16-03-09-20-25,USA,Sellersville,PA,Light,REDACTED,40.3542858,-75.3050078
16-03-09-18-13,USA,Pasco,WA,Changing,REDACTED,46.2395793,-119.1005656
16-03-09-18-00,USA,Bainbridge Island,WA,Circle,REDACTED,47.6262626,-122.5204512
16-03-09-06-55,USA,Duluth,GA,Unknown,REDACTED,34.0028569,-84.1441045
16-03-09-06-00,USA,Hanceville,AL,Light,REDACTED,34.0606545,-86.7674979
16-03-09-05-15,USA,Madison,WI,Light,REDACTED,43.074761,-89.3837612
16-03-09-04-45,USA,Pensacola,FL,Circle,REDACTED,30.421309,-87.2169148
16-03-09-03-00,USA,Manistique,MI,Triangle,REDACTED,45.95779,-86.2464189
16-03-09-02-00,USA,Oxon Hill,MD,Triangle,REDACTED,38.8035961,-76.9896572
16-03-09-01-08,USA,North Las Vegas,NV,Light,REDACTED,36.2008371,-115.1120957
16-03-09-01-00,USA,Hedgesville,WV,Circle,REDACTED,39.5534303,-77.9949992
16-03-09-00-00,USA,Pike Creek,DE,Other,REDACTED,39.7309451,-75.704099
16-03-09-00-00,USA,Lake Orion,MI,Circle,REDACTED,42.7844752,-83.2396611
16-02-09-23-59,USA,Salem,OR,Fireball,REDACTED,44.9391565,-123.0331209
16-02-09-23-40,USA,Eugene,OR,Triangle,REDACTED,44.10118085,-123.1523837
16-02-09-23-30,USA,Harbor Springs,MI,Triangle,REDACTED,45.431676,-84.9919989
16-02-09-22-30,USA,Dedham,MA,Light,REDACTED,42.2417653,-71.1661639
16-02-09-22-30,USA,Littleton,CO,Triangle,REDACTED,39.613321,-105.0166497
16-02-09-22-00,USA,Westminster,CO,Changing,REDACTED,39.856637,-105.0354826
16-02-09-22-00,USA,Menifee,CA,Circle,REDACTED,33.6864432,-117.1770436
16-02-09-21-51,CANADA,Sherbrooke,QC,Triangle,REDACTED,45.4029964,-71.8876809
16-02-09-21-44,USA,Seekonk,MA,Fireball,REDACTED,41.808434,-71.3369972
16-02-09-21-20,USA,Nashport,OH,Light,REDACTED,40.0706231,-82.1756985
16-02-09-21-14,USA,Springfield,MO,Light,REDACTED,37.2153307,-93.298252
16-02-09-21-00,USA,Knoxville,TN,Circle,REDACTED,35.9603948,-83.921026
16-02-09-20-35,USA,Angleton,TX,Flash,REDACTED,29.16941,-95.4318846
16-02-09-20-34,USA,Brookline,MO,Unknown,REDACTED,37.1781879,-93.4183092
16-02-09-20-27,USA,Erie,CO,Light,REDACTED,42.7164263,-78.7620326
16-02-09-20-18,USA,St. Albans,WV,Fireball,REDACTED,38.3856488,-81.8362409
16-02-09-20-15,USA,Green Bay,WI,Light,REDACTED,44.5299412,-88.0248316
16-02-09-19-23,USA,Naperville,IL,Triangle,REDACTED,41.7729107,-88.1478669
16-02-09-18-00,USA,Gulfport,MS,Triangle,REDACTED,30.3674198,-89.0928154
16-02-09-15-20,USA,McMinnville,OR,Unknown,REDACTED,45.2109843,-123.197585
16-02-09-13-35,CANADA,Toronto,ON,Triangle,REDACTED,43.6529206,-79.3849007
16-02-09-12-18,USA,Falls Church,VA,Disk,REDACTED,38.882334,-77.1710909
16-02-09-11-30,USA,Gainesville,VA,Sphere,REDACTED,38.7951501,-77.6141403
16-02-09-05-20,USA,Riegelsville,PA,Changing,REDACTED,40.5943218,-75.1951672
16-02-09-00-01,USA,Hillsboro,OR,Light,REDACTED,45.5228939,-122.9898269
16-02-09-00-00,CANADA,Toronto,ON,Sphere,REDACTED,43.6529206,-79.3849007
16-02-09-00-00,USA,Greenfield,WI,Fireball,REDACTED,42.9614039,-88.0125864
16-02-09-00-00,USA,Stickney,IL,Sphere,REDACTED,41.8193283,-87.7796894
16-01-09-22-50,USA,Panama City Beach,FL,Sphere,REDACTED,30.1765914,-85.8054878
16-01-09-22-30,USA,Brookfield,WI,Other,REDACTED,43.0605671,-88.1064786
16-01-09-22-00,USA,Dollar Bay,MI,Formation,REDACTED,47.1196494,-88.5115108
16-01-09-22-00,USA,Lehighton,PA,Fireball,REDACTED,40.8337029,-75.7138007
16-01-09-21-30,USA,Marquette,MI,Formation,REDACTED,46.5889755,-87.6298323
16-01-09-05-29,USA,Vale,NC,Light,REDACTED,35.5398549,-81.3973086
16-01-09-04-30,USA,Cedar Rapids,IA,Light,REDACTED,41.9758872,-91.6704052
16-01-09-02-30,CANADA,Innisfree,AB,Fireball,REDACTED,53.3807012,-111.5336298
16-01-09-02-02,USA,Marshalltown,IA,Unknown,REDACTED,42.0448121,-92.9103963
16-08-31-23-40,USA,Terre Haute,IN,Light,REDACTED,39.4667025,-87.4139118
16-08-31-22-00,USA,Corte Madera,CA,Circle,REDACTED,37.9254806,-122.5274754
16-08-31-22-00,USA,Malo,WA,Light,REDACTED,48.8015577,-118.6069688
16-08-31-21-00,USA,Arlington,WI,Light,REDACTED,43.338044,-89.3803955
16-08-31-21-00,USA,Concord,NC,Triangle,REDACTED,35.4093772,-80.5797415
16-08-31-19-46,USA,Pomona,CA,Sphere,REDACTED,34.0553813,-117.7517495
16-08-31-19-38,USA,Grants,NM,Light,REDACTED,35.14726,-107.8514464
16-08-31-16-45,USA,Oklahoma city,OK,Unknown,REDACTED,35.4729886,-97.5170535
16-08-31-12-00,USA,Shoreview,MN,Chevron,REDACTED,45.0722056,-93.1282877
16-08-31-01-38,USA,Memphis,TN,Light,REDACTED,35.1490215,-90.0516284
16-08-30-23-57,USA,Holden,MA,Egg,REDACTED,42.3517586,-71.8634061
16-08-30-23-56,USA,Columbus,OH,Triangle,REDACTED,39.9622601,-83.0007064
16-08-30-23-08,USA,Anchorage,AK,Sphere,REDACTED,61.2163129,-149.8948522
16-08-30-22-30,USA,Spring,TX,Light,REDACTED,30.0798826,-95.4172548
16-08-30-21-50,USA,Menifee,CA,Other,REDACTED,33.6864432,-117.1770436
16-08-30-21-45,USA,Tempe,AZ,Light,REDACTED,33.4144139,-111.9094473
16-08-30-21-40,USA,Tempe,AZ,Fireball,REDACTED,33.4144139,-111.9094473
16-08-30-21-00,USA,Zeeland,MI,Light,REDACTED,42.8124349,-86.0288166
16-08-30-20-45,USA,Ellington,CT,Oval,REDACTED,37.9575349,-87.4076224
16-08-30-20-30,USA,Greeley,CO,Sphere,REDACTED,38.4570355,-101.8185006
16-08-30-20-00,USA,Pittsburgh,PA,Sphere,REDACTED,40.4416941,-79.990086
16-08-30-20-00,USA,Bronx,NY,Changing,REDACTED,40.85703325,-73.83669606
16-08-30-19-59,USA,Hyrum,UT,Flash,REDACTED,41.6340996,-111.8521652
16-08-30-17-40,USA,Fayetteville,NC,Cylinder,REDACTED,35.0529931,-78.8787057
16-08-30-16-00,USA,Dana Point,CA,Light,REDACTED,33.4669721,-117.6981074
16-08-30-11-30,USA,Utica,NY,Circle,REDACTED,43.1009031,-75.232664
16-08-30-11-00,USA,West Chicago,IL,Cigar,REDACTED,41.8847507,-88.2039606
16-08-30-09-50,USA,Ladson,SC,Disk,REDACTED,32.9857275,-80.1098122
16-08-30-07-40,USA,Boulder,CO,Light,REDACTED,40.102555,-105.3632078
16-08-30-03-00,USA,Seabrook,SC,Triangle,REDACTED,32.5279652,-80.7664951
16-08-30-02-45,USA,New York,NY,Circle,REDACTED,40.7305991,-73.9865811
16-08-29-23-39,USA,Herriman,UT,Triangle,REDACTED,40.5140894,-112.0328197
16-08-29-23-00,USA,Newport News,VA,Other,REDACTED,37.016827,-76.4505195
16-08-29-22-00,USA,Pittsfield,MA,Rectangle,REDACTED,42.4500967,-73.2453784
16-08-29-22-00,USA,Easton,MD,Disk,REDACTED,38.7742826,-76.0763304
16-08-29-21-30,USA,Carrollton,GA,Light,REDACTED,33.5801103,-85.0766112
16-08-29-21-28,USA,Arlington,WA,Triangle,REDACTED,48.1810957,-122.1389547
16-08-29-21-00,USA,Virginia Beach,VA,Circle,REDACTED,36.8529841,-75.9774182
16-08-29-20-45,USA,Jacksonville,FL,Sphere,REDACTED,30.3321838,-81.6556509
16-08-29-20-26,USA,Surf City,NC,Circle,REDACTED,34.46505775,-77.57412305
16-08-29-20-25,USA,Portland,OR,Sphere,REDACTED,45.5202471,-122.6741948
16-08-29-20-00,USA,St. Louis,MO,Light,REDACTED,38.6272733,-90.1978888
16-08-29-19-00,USA,Pomona,NY,Circle,REDACTED,41.1898885,-74.05604577
16-08-29-11-55,USA,Columbus,OH,Triangle,REDACTED,39.9622601,-83.0007064
16-08-29-09-30,USA,Cody,WY,Other,REDACTED,38.6056669,-121.3798221
16-08-29-04-00,USA,Hermitage,TN,Unknown,REDACTED,36.2149902,-86.612851
16-08-29-00-20,USA,Bronx,NY,Unknown,REDACTED,40.85703325,-73.83669606
16-08-28-23-00,USA,New Castle,CO,Light,REDACTED,39.6159851,-75.6629559
16-08-28-22-00,CANADA,Toronto,ON,Cigar,REDACTED,43.6529206,-79.3849007
16-08-28-22-00,CANADA,Newmarket,ON,Oval,REDACTED,44.0545216,-79.4595168
16-08-28-21-40,USA,Juneau,AK,Formation,REDACTED,58.3019496,-134.4197339
16-08-28-21-35,USA,Runnemede,NJ,Unknown,REDACTED,39.8523358,-75.0679497
16-08-28-20-45,USA,Williamsburg,VA,Unknown,REDACTED,37.2707028,-76.7074501
16-08-28-20-00,USA,Wakefield,NH,Sphere,REDACTED,43.568452,-71.0307309
16-08-28-19-50,USA,Santa Rosa,CA,Light,REDACTED,38.4404675,-122.7144313
16-08-28-19-30,USA,Santa Rosa,CA,Oval,REDACTED,38.4404675,-122.7144313
16-08-28-19-30,USA,Petaluma,CA,Circle,REDACTED,38.295411,-122.6136934
16-08-28-18-00,USA,Pottstown,PA,Circle,REDACTED,40.2452976,-75.6496423
16-08-28-12-16,USA,Piscataway,NJ,Changing,REDACTED,40.5462553,-74.4660407
16-08-28-12-16,USA,Piscataway,NJ,Egg,REDACTED,40.5462553,-74.4660407
16-08-28-12-00,USA,Sylmar,CA,Other,REDACTED,34.3076252,-118.4492147
16-08-28-10-30,USA,Albuquerque,NM,Triangle,REDACTED,35.0841034,-106.650985
16-08-28-09-00,USA,Camden,NY,Other,REDACTED,43.334668,-75.7479859
16-08-28-08-57,USA,Old Lyme,CT,Cross,REDACTED,41.153902,-81.778633
16-08-27-23-15,USA,White House,TN,Fireball,REDACTED,36.4703232,-86.6513844
16-08-27-23-00,USA,Surf City,NC,Egg,REDACTED,34.46505775,-77.57412305
16-08-27-22-45,USA,Detroit,MI,Formation,REDACTED,42.3486635,-83.0567374
16-08-27-22-15,CANADA,Sarnia,ON,Light,REDACTED,42.9923449,-82.3800378
16-08-27-21-25,USA,Spencerport,NY,Circle,REDACTED,43.18645,-77.8038969
16-08-27-21-05,USA,Malverne,NY,Light,REDACTED,40.6789916,-73.674019
16-08-27-21-00,USA,Camden,NJ,Light,REDACTED,39.9448402,-75.119891
16-08-27-20-20,USA,Lawrence,KS,Flash,REDACTED,38.9719384,-95.2359495
16-08-27-20-15,USA,Jefferson,SD,Fireball,REDACTED,42.6024951,-96.5591991
16-08-27-20-14,USA,Hollister,CA,Light,REDACTED,36.8524545,-121.401602
16-08-27-18-45,USA,Caledonia,WI,Changing,REDACTED,44.2716577,-88.77946762
16-08-27-09-00,USA,Ellington,CT,Light,REDACTED,37.9575349,-87.4076224
16-08-27-00-15,USA,Miami Beach,FL,Light,REDACTED,25.7820042,-80.22256429
16-08-26-23-30,USA,Surf City,NJ,Fireball,REDACTED,39.6620638,-74.1651376
16-08-26-23-00,USA,Greensburg,IN,Sphere,REDACTED,40.3014581,-79.5389288
16-08-26-22-40,USA,Kingsport,TN,Unknown,REDACTED,36.550238,-82.5594292
16-08-26-21-25,USA,Altamonte Springs,FL,Disk,REDACTED,28.6649055,-81.37626851
16-08-26-20-45,USA,Laplata,MD,Circle,REDACTED,39.342635,-76.6450233
16-08-26-20-30,USA,Macomb,IL,Triangle,REDACTED,40.4588774,-90.6709793
16-08-26-20-15,USA,Gilbertsville,PA,Rectangle,REDACTED,40.3207577,-75.61010703
16-08-26-20-00,USA,San Antonio,TX,Light,REDACTED,29.4246002,-98.4951404
16-08-26-19-31,USA,Stevens Point,WI,Sphere,REDACTED,44.5229223,-89.5741109
16-08-26-13-00,USA,Visalia,CA,Unknown,REDACTED,36.3302284,-119.2920584
16-08-26-07-00,USA,Wilson,NC,Cigar,REDACTED,35.7212689,-77.9155394
16-08-25-23-00,USA,Astoria,OR,Circle,REDACTED,46.187885,-123.8312559
16-08-25-22-15,USA,Cedar Park,TX,Light,REDACTED,30.5217116,-97.8278329
16-08-25-21-35,USA,Pacific Palisades,CA,Oval,REDACTED,34.0480643,-118.5264705
16-08-25-21-00,USA,Aloha,OR,Circle,REDACTED,45.4942838,-122.867045
16-08-25-20-58,USA,Canton,OH,Fireball,REDACTED,40.7989522,-81.3784444
16-08-25-20-45,USA,Kennesaw,GA,Light,REDACTED,34.0234337,-84.6154896
16-08-25-20-15,USA,Sheffield,MA,Diamond,REDACTED,42.1103686,-73.3551147
16-08-25-16-15,USA,Harrogate,TN,Sphere,REDACTED,36.5703375,-83.65142479
16-08-25-14-00,USA,Cicero,IL,Unknown,REDACTED,41.8455878,-87.7539447
16-08-25-10-30,USA,Goldsboro,NC,Unknown,REDACTED,35.3848841,-77.992765
16-08-25-10-00,USA,Blackshear,GA,Unknown,REDACTED,31.3060513,-82.242066
16-08-25-05-40,USA,McConnellsburg,PA,Triangle,REDACTED,39.932589,-77.9988905
16-08-25-02-20,USA,Lakewood,WA,Fireball,REDACTED,47.1714085,-122.5163999
16-08-24-23-30,USA,Thornton,CO,Changing,REDACTED,39.9174732,-104.905461
16-08-24-23-30,USA,Mosca,CO,Formation,REDACTED,37.651236,-105.8711854
16-08-24-21-45,USA,Whitehall,NY,Flash,REDACTED,42.6468413,-73.798817
16-08-24-20-30,USA,Emporium,PA,Other,REDACTED,41.5111955,-78.23841148
16-08-24-20-30,USA,Rantoul,IL,Circle,REDACTED,40.3083672,-88.1558784
16-08-24-20-15,USA,Rantoul,IL,Light,REDACTED,40.3083672,-88.1558784
16-08-24-20-00,USA,SeaTac Airport,WA,Oval,REDACTED,47.4475673,-122.3080658
16-08-24-16-00,USA,Lakeland,FL,Circle,REDACTED,28.0470698,-81.9539368
16-08-24-12-20,USA,Murrieta,CA,Rectangle,REDACTED,33.560832,-117.2106563
16-08-24-08-00,USA,Syracuse,NY,Light,REDACTED,43.0481221,-76.1474243
16-08-24-06-45,USA,Walnut Creek,CA,Formation,REDACTED,37.9063131,-122.0649629
16-08-24-06-31,USA,Oneida Lake,NY,Other,REDACTED,43.20098235,-75.88701648
16-08-24-03-45,USA,Mobile,AL,Cigar,REDACTED,39.092585,-84.8532289
16-08-24-00-00,USA,Holiday,FL,Light,REDACTED,28.187755,-82.74160797
16-08-23-23-30,USA,Baytown,TX,Other,REDACTED,29.7355047,-94.9774273
16-08-23-23-00,USA,Griffith Lake,VT,Circle,REDACTED,43.3041455,-72.95901109
16-08-23-22-54,USA,Seminole,FL,Changing,REDACTED,28.7225829,-81.2353682
16-08-23-22-20,USA,Holland,MI,Fireball,REDACTED,42.7876022,-86.1090827
16-08-23-22-07,USA,Carver,MA,Cylinder,REDACTED,41.8834363,-70.7625375
16-08-23-21-40,USA,Ocean City,MD,Formation,REDACTED,38.3348728,-75.0847658
16-08-23-21-30,USA,East Providence,RI,Light,REDACTED,41.8137116,-71.3700544
16-08-23-21-00,USA,Palm Harbor,FL,Light,REDACTED,28.0856815,-82.7569069
16-08-23-19-30,USA,Charleston,SC,Light,REDACTED,32.7876012,-79.9402727
16-08-23-19-00,USA,Gila Bend,AZ,Light,REDACTED,32.9478267,-112.7168238
16-08-23-17-30,USA,Kansas City,MO,Triangle,REDACTED,39.0844687,-94.5630297
16-08-23-15-30,USA,Comer's Rock,VA,Triangle,REDACTED,36.7642873,-81.2281529
16-08-23-10-30,USA,Hilliard,OH,Triangle,REDACTED,40.033814,-83.1596107
16-08-23-02-00,USA,Boise,ID,Sphere,REDACTED,43.61656,-116.2008349
16-08-22-22-30,USA,Ann Arbor,MI,Light,REDACTED,42.2681569,-83.731229
16-08-22-22-26,USA,Philadelphia,PA,Light,REDACTED,39.9523993,-75.1635898
16-08-22-22-15,USA,Prescott Valley,AZ,Other,REDACTED,34.6100243,-112.3157209
16-08-22-22-06,CANADA,Montreal West,QC,Disk,REDACTED,45.452853,-73.6442547
16-08-22-21-50,USA,Westwood,MA,Circle,REDACTED,42.2139873,-71.2244986
16-08-22-21-30,USA,Stoddard,NH,Rectangle,REDACTED,43.078919,-72.1149439
16-08-22-21-25,USA,Avalon,CA,Other,REDACTED,33.34221,-118.3272611
16-08-22-21-00,USA,Oak Grove,MO,Circle,REDACTED,32.6306626,-108.3442401
16-08-22-20-27,USA,Ann Arbor,MI,Light,REDACTED,42.2681569,-83.731229
16-08-22-20-15,USA,Montrose,CO,Sphere,REDACTED,38.4375391,-108.2403854
16-08-22-20-00,USA,Sedona,AZ,Unknown,REDACTED,34.8657757,-111.792989
16-08-22-20-00,USA,Mantua,NJ,Light,REDACTED,39.7940026,-75.1721231
16-08-22-19-00,USA,Swedesboro,NJ,Cigar,REDACTED,39.7476136,-75.3104653
16-08-22-12-25,USA,Santa Ana,CA,Disk,REDACTED,33.7494951,-117.8732212
16-08-22-06-00,USA,Elkhorn,NE,Oval,REDACTED,41.2860699,-96.234612
16-08-22-02-49,USA,Perris,CA,Fireball,REDACTED,33.7825194,-117.2286477
16-08-22-02-25,USA,Perris,CA,Unknown,REDACTED,33.7825194,-117.2286477
16-08-22-02-00,USA,Mauriceville,TX,Light,REDACTED,30.2035419,-93.8662818
16-08-22-00-30,USA,Hibbing,MN,Fireball,REDACTED,47.427155,-92.9376889
16-08-22-00-00,CANADA,Whitehorse,YT,Other,REDACTED,60.721571,-135.0549319
16-08-21-23-00,USA,Silverton,OR,Light,REDACTED,45.0049305,-122.7832946
16-08-21-23-00,USA,Silverton,OR,Light,REDACTED,45.0049305,-122.7832946
